36.393345890255,6713-56402-0294,448
38.0121719933326,6184-56267-0854,732
38.6531310947903,6052-56092-0294,1257
38.9849013378055,4766-55677-0472,757
39.4323539866038,6055-56102-0884,1163
40.0467431592306,5785-56269-0553,822
40.0494706785501,7421-57159-0614,1044
40.0982669701358,6470-56334-0318,604
40.2488338126154,3751-55234-0020,1786
40.3341048117078,4839-55703-0086,1110
40.4132513038879,5324-55947-0886,825
40.4986457844341,5870-56065-0078,796
40.5217079675418,4232-55447-0492,1047
40.5246491209455,6617-56365-0748,913
40.5253749724855,6792-56432-0630,2003
40.6267355229387,6677-56385-0936,1780
40.6760516728428,5723-56597-0218,989
40.6951416296537,6807-56429-0807,864
40.7075805930316,7101-56659-0514,1498
40.7867465583178,6467-56270-0446,1825
40.9135130251817,6483-56341-0494,1575
40.9455774570794,4977-56047-0636,1980
40.9625912685453,6448-56365-0458,1238
40.9638287607411,6791-56429-0516,1702
40.9854630987663,5957-56210-0880,513
40.9972018897564,5145-55835-0312,1587
40.9973661251286,6480-56340-0966,1513
41.0251713069117,5422-55986-0320,613
41.0366486771334,5460-56000-0732,1553
41.0907650568612,5063-55831-0726,1010
41.1179684332493,7428-56781-0958,1351
41.1305489801048,3971-55322-0184,922
41.2050674599279,6750-56367-0628,1355
41.2088429075397,4657-55591-0502,1271
41.2464579940428,4873-55926-0658,1510
41.2615046539576,4774-55659-0894,1750
41.2835766032343,5783-56017-0903,1521
41.3169566020703,5328-55982-0218,905
41.3239236065423,3871-55307-0234,1716
41.3333548867628,6507-56478-0810,1685
41.3704574200822,5436-56015-0440,589
41.4144891154193,5796-56274-0786,647
41.4344984815178,7098-56661-0252,1416
41.4353912104638,6499-56571-0680,2078
41.4546997246593,6489-56329-0268,881
41.5063537545829,6022-56076-0922,1171
41.5300683996588,3982-55332-0328,1474
41.5565083927542,5396-55947-0878,1340
41.5698991497108,5397-55944-0352,721
41.5718825274515,5431-56011-0284,882
41.590114072675,6449-56356-0280,1121
41.6409956602058,5025-55836-0496,1401
41.6587216012559,5180-55947-0310,961
41.6782147388481,6192-56269-0184,739
41.6832430279573,6728-56426-0760,790
41.6989914059637,5648-55923-0909,861
41.7036508745896,6668-56605-0668,1459
41.7324094743528,7031-56449-0584,1464
41.759204747482,6460-56334-0908,1652
41.7732910406438,5143-55828-0900,1264
41.7806993925226,5297-55913-0936,1772
41.7920565482363,4221-55443-0556,1164
41.830653636195,5410-56016-0424,1456
41.8319729668048,5160-55895-0378,811
41.8401258551738,6427-56328-0160,2146
41.8488488266506,3874-55280-0328,2050
41.8696979461575,3819-55540-0446,849
41.8766930910615,7034-56564-0743,1135
41.8887631721459,6803-56402-0488,1432
41.8897583766428,4895-55708-0255,1337
41.9127083379142,5305-55984-0904,692
41.9368071883277,7118-56686-0156,706
41.9501734440363,5379-55986-0762,1030
41.974939633353,4236-55479-0419,1013
41.9961416343491,3972-55589-0322,936
41.9970007300931,5895-56046-0666,1338
42.0060081044473,6692-56390-0169,1027
42.0089424514155,5425-56003-0834,1442
42.0167093074482,6489-56329-0866,1765
42.0331412973016,4855-55926-0123,642
42.0341988751775,3951-55681-0016,2028
42.0394917838306,4373-55811-0056,534
42.0414351333455,6309-56485-0732,1148
42.0527366383871,6634-56367-0308,869
42.0559312284738,4087-55449-0320,924
42.0688145104233,6601-56335-0524,1356
42.0691501715928,5307-55998-0232,755
42.0722405333515,6185-56217-0286,759
42.0754620468743,5884-56046-0428,954
42.0932416646676,4210-55444-0270,506
42.1097720892807,4485-55836-0092,1720
42.1101431075499,6488-56364-0856,1435
42.1181864383211,6663-56338-0946,893
42.152050818555,3736-55214-0496,694
42.1734362788939,6182-56190-0634,1040
42.1919895976089,4966-55712-0062,1952
42.2009563284095,5852-56034-0300,1637
42.2069805759194,4697-55660-0936,1454
42.2211669059911,7163-56593-0776,1988
42.2249236108124,5432-56008-0522,834
